Cluster,Central_File
0,Voen_Obozren_060524_010028.t
1,Voen_Obozren_060524_010453.t
2,Voen_Obozren_060524_010517.t
3,Voen_Obozren_060524_010622.t
4,Voen_Obozren_060524_010918.t
