DocumentName,VoenObozrenN_0001.t,VoenObozrenN_0002.t,VoenObozrenN_0003.t,VoenObozrenN_0004.t,VoenObozrenN_0005.t,VoenObozrenN_0006.t,VoenObozrenN_0007.t,VoenObozrenN_0008.t,VoenObozrenN_0009.t,VoenObozrenN_0010.t,VoenObozrenN_0011.t,VoenObozrenN_0012.t,VoenObozrenN_0013.t,VoenObozrenN_0014.t,VoenObozrenN_0015.t,VoenObozrenN_0016.t,VoenObozrenN_0017.t,VoenObozrenN_0018.t,VoenObozrenN_0019.t,VoenObozrenN_0020.t,VoenObozrenN_0021.t
VoenObozrenN_0001.t,1.0000000000000002,0.0,0.0,0.038896923798325385,0.00883666557491186,0.0,0.0,0.0,0.0,0.008145782318277279,0.0,0.0,0.011701128581031207,0.0,0.0,0.003741193285723212,0.0,0.008985344541327855,0.0,0.007120024452157306,0.0
VoenObozrenN_0002.t,0.0,1.000000000000001,0.0,0.01804546087465796,0.004177251709564655,0.0,0.003663217654573556,0.03261398233488054,0.0117167924277834,0.0,0.0,0.003906577926244935,0.0,0.0,0.004917184479074935,0.005779336236834609,0.0022401935911979705,0.0,0.011235398717404962,0.015252274147727627,0.0016401479184649681
VoenObozrenN_0003.t,0.0,0.0,0.9999999999999978,0.0,0.0,0.008792004885542515,0.0,0.01419623341696596,0.023557020587017044,0.11743684878878521,0.0,0.0,0.0,0.0,0.02011837364290714,0.006211670927254628,0.01778770389439021,0.012634737698195297,0.0,0.025029546987312842,0.0057956317447792755
VoenObozrenN_0004.t,0.038896923798325385,0.01804546087465796,0.0,0.9999999999999996,0.07280448437750704,0.0045211813736165335,0.0,0.017415128554683544,0.0066102759213199,0.03099920406073072,0.01035884954484893,0.0,0.04452926170275398,0.02301777937645085,0.0,0.016846932945994268,0.011695985550313644,0.034194202362567205,0.0030981327306042338,0.05478684107577886,0.0072699028699756574
VoenObozrenN_0005.t,0.00883666557491186,0.004177251709564655,0.0,0.07280448437750704,0.9999999999999999,0.0,0.0,0.0,0.008265045029343093,0.013468532594140015,0.01176670032356117,0.0,0.019347071346140728,0.040214766426450874,0.010088340839017735,0.02498376537207481,0.0,0.014856695292840363,0.0,0.04197107381980481,0.0
VoenObozrenN_0006.t,0.0,0.0,0.008792004885542515,0.0045211813736165335,0.0,1.0000000000000024,0.0,0.002872782237235479,0.0029240394941412967,0.0,0.0,0.0,0.0,0.0,0.0,0.0025673413915423735,0.003980624415028369,0.0,0.0,0.0,0.0
VoenObozrenN_0007.t,0.0,0.003663217654573556,0.0,0.0,0.0,0.0,1.0000000000000002,0.012612315677624383,0.0,0.011319987387813845,0.0,0.0,0.0,0.0,0.0,0.0,0.025989075530534374,0.0,0.008974869840751758,0.0,0.0
VoenObozrenN_0008.t,0.0,0.03261398233488054,0.01419623341696596,0.017415128554683544,0.0,0.002872782237235479,0.012612315677624383,1.0000000000000018,0.0023116540365128364,0.0026090516882148703,0.0,0.0,0.0,0.009099486295160792,0.0016658433645539742,0.0355916095939416,0.0,0.0341228938238605,0.0,0.00910978729202378,0.011180272051390654
VoenObozrenN_0009.t,0.0,0.0117167924277834,0.023557020587017044,0.0066102759213199,0.008265045029343093,0.0029240394941412967,0.0,0.0023116540365128364,1.0000000000000004,0.021943477490279757,0.0,0.0,0.0,0.0,0.10680374707581006,0.007783325871676574,0.0032031061657137407,0.0,0.004031651809732374,0.015429736885309436,0.0
VoenObozrenN_0010.t,0.008145782318277279,0.0,0.11743684878878521,0.03099920406073072,0.013468532594140015,0.0,0.011319987387813845,0.0026090516882148703,0.021943477490279757,0.9999999999999993,0.0,0.0,0.01783444562271036,0.01113313875117991,0.05506708976701713,0.019081081361565166,0.016947013175622836,0.029761396071546882,0.0,0.030211394003055683,0.0
VoenObozrenN_0011.t,0.0,0.0,0.0,0.01035884954484893,0.01176670032356117,0.0,0.0,0.0,0.0,0.0,1.0000000000000004,0.018639048417118925,0.0,0.028086475299824238,0.0,0.004981686799442253,0.015448061693089462,0.0,0.0,0.031731511925803625,0.0
VoenObozrenN_0012.t,0.0,0.003906577926244935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018639048417118925,0.9999999999999979,0.017341020945245887,0.0,0.0,0.0,0.0,0.0,0.0,0.024649688722966023,0.0
VoenObozrenN_0013.t,0.011701128581031207,0.0,0.0,0.04452926170275398,0.019347071346140728,0.0,0.0,0.0,0.0,0.01783444562271036,0.0,0.017341020945245887,1.0000000000000002,0.0,0.010913515697514618,0.008191000644415764,0.0,0.01967259034949505,0.0,0.057960403594629936,0.0
VoenObozrenN_0014.t,0.0,0.0,0.0,0.02301777937645085,0.040214766426450874,0.0,0.0,0.009099486295160792,0.0,0.01113313875117991,0.028086475299824238,0.0,0.0,1.0000000000000002,0.007108354885832526,0.02243483194594328,0.015855960058293136,0.0,0.0,0.04877062029544704,0.0
VoenObozrenN_0015.t,0.0,0.004917184479074935,0.02011837364290714,0.0,0.010088340839017735,0.0,0.0,0.0016658433645539742,0.10680374707581006,0.05506708976701713,0.0,0.0,0.010913515697514618,0.007108354885832526,1.0000000000000002,0.018228598628418274,0.0,0.0,0.012047083969352534,0.02712996262151199,0.0
VoenObozrenN_0016.t,0.003741193285723212,0.005779336236834609,0.006211670927254628,0.016846932945994268,0.02498376537207481,0.0025673413915423735,0.0,0.0355916095939416,0.007783325871676574,0.019081081361565166,0.004981686799442253,0.0,0.008191000644415764,0.02243483194594328,0.018228598628418274,0.9999999999999993,0.0067040756655670315,0.006289902928477,0.012998674309632391,0.014283257783597243,0.0
VoenObozrenN_0017.t,0.0,0.0022401935911979705,0.01778770389439021,0.011695985550313644,0.0,0.003980624415028369,0.025989075530534374,0.0,0.0032031061657137407,0.016947013175622836,0.015448061693089462,0.0,0.0,0.015855960058293136,0.0,0.0067040756655670315,1.0000000000000004,0.0,0.0,0.01605699660378353,0.0
VoenObozrenN_0018.t,0.008985344541327855,0.0,0.012634737698195297,0.034194202362567205,0.014856695292840363,0.0,0.0,0.0341228938238605,0.0,0.029761396071546882,0.0,0.0,0.01967259034949505,0.0,0.0,0.006289902928477,0.0,1.0000000000000002,0.0,0.011970582440461864,0.009950512971628427
VoenObozrenN_0019.t,0.0,0.011235398717404962,0.0,0.0030981327306042338,0.0,0.0,0.008974869840751758,0.0,0.004031651809732374,0.0,0.0,0.0,0.0,0.0,0.012047083969352534,0.012998674309632391,0.0,0.0,1.0000000000000004,0.0,0.015704234331497462
VoenObozrenN_0020.t,0.007120024452157306,0.015252274147727627,0.025029546987312842,0.05478684107577886,0.04197107381980481,0.0,0.0,0.00910978729202378,0.015429736885309436,0.030211394003055683,0.031731511925803625,0.024649688722966023,0.057960403594629936,0.04877062029544704,0.02712996262151199,0.014283257783597243,0.01605699660378353,0.011970582440461864,0.0,0.9999999999999996,0.0
VoenObozrenN_0021.t,0.0,0.0016401479184649681,0.0057956317447792755,0.0072699028699756574,0.0,0.0,0.0,0.011180272051390654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009950512971628427,0.015704234331497462,0.0,1.0000000000000007
