Document,Cluster
VoenObozren2016_2019_1_0001.t,4
VoenObozren2016_2019_1_0002.t,6
VoenObozren2016_2019_1_0003.t,9
VoenObozren2016_2019_1_0004.t,3
VoenObozren2016_2019_1_0005.t,4
VoenObozren2016_2019_1_0006.t,4
VoenObozren2016_2019_1_0007.t,4
VoenObozren2016_2019_1_0008.t,3
VoenObozren2016_2019_1_0009.t,4
VoenObozren2016_2019_1_0010.t,5
VoenObozren2016_2019_1_0011.t,4
VoenObozren2016_2019_1_0012.t,4
VoenObozren2016_2019_1_0013.t,18
VoenObozren2016_2019_1_0014.t,4
VoenObozren2016_2019_1_0015.t,4
VoenObozren2016_2019_1_0016.t,4
VoenObozren2016_2019_1_0017.t,10
VoenObozren2016_2019_1_0018.t,5
VoenObozren2016_2019_1_0019.t,4
VoenObozren2016_2019_1_0020.t,4
VoenObozren2016_2019_1_0021.t,4
VoenObozren2016_2019_1_0022.t,0
VoenObozren2016_2019_1_0023.t,4
VoenObozren2016_2019_1_0024.t,16
VoenObozren2016_2019_1_0025.t,1
VoenObozren2016_2019_1_0026.t,15
VoenObozren2016_2019_1_0027.t,9
VoenObozren2016_2019_1_0028.t,12
VoenObozren2016_2019_1_0029.t,10
VoenObozren2016_2019_1_0030.t,18
VoenObozren2016_2019_1_0031.t,15
VoenObozren2016_2019_1_0032.t,2
VoenObozren2016_2019_1_0033.t,15
VoenObozren2016_2019_1_0034.t,18
VoenObozren2016_2019_1_0035.t,10
VoenObozren2016_2019_1_0036.t,10
VoenObozren2016_2019_1_0037.t,2
VoenObozren2016_2019_1_0038.t,2
VoenObozren2016_2019_1_0039.t,15
VoenObozren2016_2019_1_0041.t,3
VoenObozren2016_2019_1_0042.t,10
VoenObozren2016_2019_1_0043.t,10
VoenObozren2016_2019_1_0044.t,3
VoenObozren2016_2019_1_0045.t,2
VoenObozren2016_2019_1_0046.t,13
VoenObozren2016_2019_1_0047.t,13
VoenObozren2016_2019_1_0048.t,2
VoenObozren2016_2019_1_0049.t,17
VoenObozren2016_2019_1_0050.t,1
VoenObozren2016_2019_1_0051.t,18
VoenObozren2016_2019_1_0052.t,4
VoenObozren2016_2019_1_0053.t,12
VoenObozren2016_2019_1_0054.t,1
VoenObozren2016_2019_1_0055.t,14
VoenObozren2016_2019_1_0056.t,9
VoenObozren2016_2019_1_0057.t,14
VoenObozren2016_2019_1_0058.t,10
VoenObozren2016_2019_1_0059.t,13
VoenObozren2016_2019_1_0060.t,8
VoenObozren2016_2019_1_0061.t,18
VoenObozren2016_2019_1_0062.t,2
VoenObozren2016_2019_1_0063.t,4
VoenObozren2016_2019_1_0064.t,4
VoenObozren2016_2019_1_0065.t,15
VoenObozren2016_2019_1_0066.t,5
VoenObozren2016_2019_1_0067.t,18
VoenObozren2016_2019_1_0068.t,1
VoenObozren2016_2019_1_0069.t,15
VoenObozren2016_2019_1_0070.t,10
VoenObozren2016_2019_1_0071.t,15
VoenObozren2016_2019_1_0072.t,4
VoenObozren2016_2019_1_0073.t,10
VoenObozren2016_2019_1_0074.t,15
VoenObozren2016_2019_1_0075.t,15
VoenObozren2016_2019_1_0076.t,4
VoenObozren2016_2019_1_0077.t,18
VoenObozren2016_2019_1_0078.t,18
VoenObozren2016_2019_1_0079.t,1
VoenObozren2016_2019_1_0080.t,12
VoenObozren2016_2019_1_0081.t,18
VoenObozren2016_2019_1_0082.t,12
VoenObozren2016_2019_1_0083.t,4
VoenObozren2016_2019_1_0084.t,15
VoenObozren2016_2019_1_0085.t,3
VoenObozren2016_2019_1_0086.t,4
VoenObozren2016_2019_1_0087.t,9
VoenObozren2016_2019_1_0088.t,5
VoenObozren2016_2019_1_0089.t,17
VoenObozren2016_2019_1_0090.t,3
VoenObozren2016_2019_1_0091.t,18
VoenObozren2016_2019_1_0092.t,15
VoenObozren2016_2019_1_0093.t,16
VoenObozren2016_2019_1_0094.t,13
VoenObozren2016_2019_1_0095.t,16
VoenObozren2016_2019_1_0096.t,18
VoenObozren2016_2019_1_0097.t,16
VoenObozren2016_2019_1_0098.t,16
VoenObozren2016_2019_1_0099.t,16
VoenObozren2016_2019_1_0101.t,16
VoenObozren2016_2019_1_0102.t,16
VoenObozren2016_2019_1_0103.t,16
VoenObozren2016_2019_1_0104.t,15
VoenObozren2016_2019_1_0105.t,15
VoenObozren2016_2019_1_0106.t,16
VoenObozren2016_2019_1_0107.t,4
VoenObozren2016_2019_1_0108.t,4
VoenObozren2016_2019_1_0109.t,10
VoenObozren2016_2019_1_0110.t,18
VoenObozren2016_2019_1_0111.t,10
VoenObozren2016_2019_1_0112.t,16
VoenObozren2016_2019_1_0113.t,18
VoenObozren2016_2019_1_0114.t,4
VoenObozren2016_2019_1_0115.t,4
VoenObozren2016_2019_1_0116.t,15
VoenObozren2016_2019_1_0117.t,10
VoenObozren2016_2019_1_0118.t,13
VoenObozren2016_2019_1_0119.t,12
VoenObozren2016_2019_1_0121.t,18
VoenObozren2016_2019_1_0122.t,15
VoenObozren2016_2019_1_0123.t,12
VoenObozren2016_2019_1_0124.t,16
VoenObozren2016_2019_1_0125.t,14
VoenObozren2016_2019_1_0126.t,2
VoenObozren2016_2019_1_0127.t,2
VoenObozren2016_2019_1_0128.t,2
VoenObozren2016_2019_1_0129.t,9
VoenObozren2016_2019_1_0130.t,2
VoenObozren2016_2019_1_0131.t,14
VoenObozren2016_2019_1_0132.t,10
VoenObozren2016_2019_1_0133.t,9
VoenObozren2016_2019_1_0134.t,4
VoenObozren2016_2019_1_0135.t,4
VoenObozren2016_2019_1_0136.t,2
VoenObozren2016_2019_1_0137.t,15
VoenObozren2016_2019_1_0138.t,0
VoenObozren2016_2019_1_0139.t,0
VoenObozren2016_2019_1_0140.t,0
VoenObozren2016_2019_1_0141.t,0
VoenObozren2016_2019_1_0142.t,0
VoenObozren2016_2019_1_0143.t,4
VoenObozren2016_2019_1_0144.t,0
VoenObozren2016_2019_1_0145.t,0
VoenObozren2016_2019_1_0146.t,1
VoenObozren2016_2019_1_0147.t,4
